iter	Passed	Remaining
930	2125	157
931	2127	155
932	2128	152
933	2130	150
934	2132	148
935	2134	145
936	2136	143
937	2138	141
938	2140	139
939	2142	136
940	2143	134
941	2145	132
942	2147	129
943	2149	127
944	2152	125
945	2154	122
946	2156	120
947	2158	118
948	2160	116
949	2162	113
950	2165	111
951	2168	109
952	2170	107
953	2172	104
954	2174	102
955	2176	100
956	2178	97
957	2181	95
958	2183	93
959	2185	91
960	2186	88
961	2188	86
962	2190	84
963	2191	81
964	2195	79
965	2198	77
966	2200	75
967	2202	72
968	2204	70
969	2206	68
970	2209	65
971	2211	63
972	2213	61
973	2215	59
974	2216	56
975	2218	54
976	2220	52
977	2222	49
978	2225	47
979	2228	45
980	2229	43
981	2231	40
982	2233	38
983	2235	36
984	2238	34
985	2240	31
986	2243	29
987	2245	27
988	2247	24
989	2248	22
990	2250	20
991	2252	18
992	2255	15
993	2257	13
994	2259	11
995	2260	9
996	2262	6
997	2264	4
998	2265	2
999	2268	0
